dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
16,1,1.3979277610778809,16,1,1.938575267791748,15,,,,1,0.299562931060791,16,1,0.5791325569152832,15,,,,135.46875,180.0,
32,1,1.931236743927002,23,1,2.595484495162964,17,,,,1,0.43312549591064453,23,1,0.9503059387207031,17,,,,191.8125,209.25,
64,1,2.351891279220581,26,1,3.42476224899292,14,,,,1,0.563408613204956,26,1,1.3976879119873047,14,,,,215.947265625,177.1875,
128,1,2.9681875705718994,27,1,4.811230659484863,14,,,,1,0.7221410274505615,27,1,2.4787814617156982,14,,,,223.986328125,178.59375,
256,1,3.8739511966705322,27,1,7.039212703704834,13,,,,1,0.8789713382720947,27,1,3.8497092723846436,13,,,,223.99658203125,167.34375,
512,1,5.203298807144165,27,1,11.243260145187378,12,,,,1,1.1319689750671387,27,1,6.689096212387085,12,,,,223.9991455078125,155.6953125,
1024,1,10.778208255767822,27,1,20.454955339431763,11,,,,1,1.9260902404785156,27,1,11.429634094238281,11,,,,223.99978637695312,143.859375,
2048,1,31.172658443450928,28,1,48.29337453842163,10,,,,1,5.016505002975464,28,1,21.598509073257446,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.2037520408630371,200,,,,,,,1,0.038877248764038086,200,,,201.0
21,,,,,,,1,0.20613312721252441,300,,,,,,,1,0.04205822944641113,300,,,301.0
27,,,,,,,1,0.31336283683776855,400,,,,,,,1,0.04730820655822754,400,,,401.0
35,,,,,,,1,0.3327062129974365,800,,,,,,,1,0.06604695320129395,800,,,801.0
46,,,,,,,1,0.3754546642303467,1600,,,,,,,1,0.10254096984863281,1600,,,1601.0
60,,,,,,,1,0.4373190402984619,2800,,,,,,,1,0.15514874458312988,2800,,,2801.0
78,,,,,,,1,0.43427419662475586,4600,,,,,,,1,0.2386157512664795,4600,,,4601.0
101,,,,,,,1,0.6028635501861572,7800,,,,,,,1,0.38381075859069824,7800,,,7801.0
131,,,,,,,1,1.0022292137145996,13400,,,,,,,1,0.6380424499511719,13400,,,13401.0
170,,,,,,,1,1.5885884761810303,22400,,,,,,,1,1.2493159770965576,22400,,,22401.0
221,,,,,,,1,3.5679755210876465,38000,,,,,,,1,3.093411684036255,38000,,,38001.0
287,,,,,,,1,8.497235774993896,64200,,,,,,,1,7.758962392807007,64200,,,64201.0
373,,,,,,,1,23.777963638305664,108600,,,,,,,1,22.85285520553589,108600,,,108601.0
485,,,,,,,1,64.06681156158447,183600,,,,,,,1,62.50041151046753,183600,,,183601.0
630,,,,,,,1,179.76030659675598,310000,,,,,,,1,177.3915536403656,310000,,,310001.0
16,1,1.389434576034546,16,1,1.92181396484375,15,,,,1,0.2973499298095703,16,1,0.5600192546844482,15,,,,135.46875,180.0,
32,1,1.9243474006652832,23,1,2.64440655708313,17,,,,1,0.43276405334472656,23,1,0.9500820636749268,17,,,,191.8125,209.25,
64,1,2.35111403465271,26,1,3.4796648025512695,14,,,,1,0.579909086227417,26,1,1.472121238708496,14,,,,215.947265625,177.1875,
